Li2O,ZnO,TiO2,ZrO2,CaO,Nb2O5,Nb2O3,Al2O3,B2O3,Sb2O3,BaO,La2O3,SrO,SiO2,Na2O,PbO,Y2O3,K2O,ABBENUM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39,0.0,0.0,0.0,0.0,42.13,14.48,0.0,0.0,0.0,64.49552920000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.35,0.0,0.0,0.0,0.0,61.73,15.92,0.0,0.0,0.0,65.28302760000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,64.55,16.7,0.0,0.0,0.0,64.71322629999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89,0.0,0.0,0.0,0.0,66.07,17.04,0.0,0.0,0.0,64.5080948
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.0,0.0,0.0,0.0,68.27,17.61,0.0,0.0,0.0,63.8613892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62,0.0,0.0,0.0,0.0,62.91,17.47,0.0,0.0,0.0,64.5601044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.01,0.0,0.0,0.0,0.0,49.85,17.14,0.0,0.0,0.0,65.4911804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,70.48,18.18,0.0,0.0,0.0,62.89925770000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,74.96,19.33,0.0,0.0,0.0,61.26675030000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,59.84,18.92,0.0,0.0,0.0,64.17177579999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,0.0,0.0,0.0,0.0,57.8,19.87,0.0,0.0,0.0,64.0586853
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,55.77,20.83,0.0,0.0,0.0,63.9902725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,52.74,22.26,0.0,0.0,0.0,63.95630260000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,0.0,0.0,0.0,0.0,51.74,22.73,0.0,0.0,0.0,63.6473351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.59,0.0,0.0,0.0,0.0,49.73,23.68,0.0,0.0,0.0,63.3853531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65,0.0,0.0,0.0,0.0,47.73,24.62,0.0,0.0,0.0,62.8571434
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,0.0,0.0,0.0,0.0,42.76,26.96,0.0,0.0,0.0,62.411346400000006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88,0.0,0.0,0.0,0.0,37.84,29.28,0.0,0.0,0.0,61.75438689999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,0.0,0.0,0.0,0.0,31.41,32.3,0.0,0.0,0.0,60.8342934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,74.58,0.0,0.0,0.0,14.62,67.6075287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,71.53,0.0,0.0,0.0,16.37,66.8865356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28,0.0,0.0,0.0,0.0,68.76,0.0,0.0,0.0,17.97,66.9724808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,0.0,0.0,0.0,0.0,63.12,0.0,0.0,0.0,21.21,66.6666718
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,67.01164250000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,0.0,0.0,0.0,0.0,58.31,0.0,0.0,0.0,23.97,66.7525787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,0.0,0.0,0.0,0.0,57.67,0.0,0.0,0.0,24.34,66.5384674
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,0.0,0.0,0.0,0.0,56.17,0.0,0.0,0.0,25.2,66.1146545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,0.0,0.0,0.0,0.0,54.48,0.0,0.0,0.0,26.17,65.73957060000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,0.0,0.0,0.0,0.0,50.32,0.0,0.0,0.0,28.56,65.8227844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.0,0.0,0.0,0.0,48.28,0.0,0.0,0.0,29.74,65.3266296
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41,0.0,0.0,0.0,0.0,47.27,0.0,0.0,0.0,30.32,64.794014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,0.0,0.0,0.0,0.0,46.27,0.0,0.0,0.0,30.9,65.20101170000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,0.0,0.0,0.0,44.28,0.0,0.0,0.0,32.04,65.20101170000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56,0.0,0.0,0.0,0.0,37.51,0.0,0.0,0.0,35.93,63.66994860000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,0.0,0.0,0.0,0.0,47.87,0.0,0.0,0.0,37.46,61.8990402
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,0.0,0.0,43.14,0.0,0.0,0.0,33.82,64.4720535
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,33.17,64.3478241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46,0.0,0.0,0.0,0.0,39.58,0.0,0.0,0.0,30.96,66.0714264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,0.0,0.0,59.02,0.0,0.0,0.0,30.84,63.4448547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,58.32,0.0,0.0,0.0,30.43,64.125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35,0.0,0.0,0.0,0.0,39.18,0.0,0.0,0.0,20.47,65.6618652
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,27.28,62.7672882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0,68.11,0.0,0.0,0.0,26.7,63.5101051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,67.17,0.0,0.0,0.0,26.4,63.39622120000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,65.04,0.0,0.0,0.0,25.53,64.5939026
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,64.4,0.0,0.0,0.0,25.24,64.80304720000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,61.26,0.0,0.0,0.0,23.94,65.9846649
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51,0.0,0.0,0.0,0.0,60.7,0.0,0.0,0.0,23.79,66.3239059
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,67.01164250000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08,0.0,0.0,0.0,0.0,58.85,0.0,0.0,0.0,23.07,66.7525787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,0.0,57.92,0.0,0.0,0.0,22.77,66.96891020000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,0.0,0.0,0.0,0.0,57.01,0.0,0.0,0.0,22.34,67.1875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0,0.0,55.91,0.0,0.0,0.0,21.91,67.0129929
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,0.0,54.71,0.0,0.0,0.0,21.48,66.8839645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,0.0,0.0,53.34,0.0,0.0,0.0,20.91,66.796875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.42,0.0,0.0,0.0,0.0,50.68,0.0,0.0,0.0,19.9,66.62286379999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,0.0,0.0,0.0,49.69,0.0,0.0,0.0,19.47,66.4031525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,47.33,0.0,0.0,0.0,18.48,66.05020139999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,43.65,0.0,0.0,0.0,14.24,65.7220001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,13.8,63.86333079999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,68.58,0.0,0.0,0.0,18.92,66.884819
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,0.0,0.0,0.0,0.0,67.61,0.0,0.0,0.0,18.62,67.1484985
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86,0.0,0.0,0.0,0.0,67.39,0.0,0.0,0.0,18.75,67.1484985
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,27.38,65.8227844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,33.17,64.3478241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.54,0.0,0.0,0.0,0.0,32.84,0.0,0.0,0.0,38.62,63.0036659
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,0.0,0.0,0.0,0.0,50.58,0.0,0.0,0.0,39.65,62.1065407
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,0.0,0.0,0.0,0.0,47.28,0.0,0.0,0.0,37.06,62.9268341
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58,0.0,0.0,0.0,0.0,45.04,0.0,0.0,0.0,35.37,63.1257553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,0.0,0.0,0.0,0.0,44.14,0.0,0.0,0.0,34.6,64.1883545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,0.0,0.0,0.0,0.0,40.9,0.0,0.0,0.0,32.12,65.44767
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.73,0.0,0.0,0.0,0.0,37.75,0.0,0.0,0.0,29.52,66.45243070000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38,0.0,0.0,0.0,0.0,33.98,0.0,0.0,0.0,26.64,66.36363979999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,62.41,0.0,0.0,0.0,32.52,61.8872566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,61.25,0.0,0.0,0.0,31.96,62.36161800000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,29.32,64.9874115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,0.0,0.0,0.0,53.11,0.0,0.0,0.0,27.66,65.9898453
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,27.38,65.8227844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.0,51.42,0.0,0.0,0.0,26.83,66.6666641
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.07,0.0,0.0,0.0,0.0,49.93,0.0,0.0,0.0,26.0,66.9677505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,0.0,0.0,0.0,0.0,49.13,0.0,0.0,0.0,25.59,67.3151855
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.99,0.0,0.0,0.0,0.0,47.98,0.0,0.0,0.0,25.03,66.9250641
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.31,0.0,0.0,0.0,0.0,45.77,0.0,0.0,0.0,23.92,66.6235428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.0,0.0,0.0,0.0,43.57,0.0,0.0,0.0,22.81,66.7103424
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,63.11,0.0,0.0,0.0,24.67,65.5172424
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0.0,0.0,0.0,0.0,62.55,0.0,0.0,0.0,24.51,65.6449585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,75.4,0.0,0.0,0.0,20.76,63.788662
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,0.0,0.0,0.0,0.0,72.57,0.0,0.0,0.0,19.99,65.23995210000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66,0.0,0.0,0.0,0.0,70.81,0.0,0.0,0.0,19.53,66.0156174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61,0.0,0.0,0.0,0.0,70.15,0.0,0.0,0.0,19.24,66.3185425
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0,0.0,0.0,69.16,0.0,0.0,0.0,19.07,66.5796356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.86,0.0,0.0,0.0,0.0,65.97,0.0,0.0,0.0,18.17,67.8618851
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.69,0.0,0.0,0.0,0.0,65.29,0.0,0.0,0.0,18.01,67.8618851
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68,0.0,0.0,0.0,0.0,63.76,0.0,0.0,0.0,17.56,67.41721340000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,0.0,0.0,0.0,0.0,61.95,0.0,0.0,0.0,16.97,67.01987460000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.74,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,16.66,67.0212708
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.71,0.0,0.0,0.0,0.0,59.07,0.0,0.0,0.0,16.22,66.9333267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26,0.0,0.0,0.0,0.0,57.83,0.0,0.0,0.0,15.92,66.3563766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.84,0.0,0.0,0.0,0.0,55.84,0.0,0.0,0.0,15.32,66.5322571
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.41,0.0,0.0,0.0,0.0,53.86,0.0,0.0,0.0,14.73,66.30728149999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.77,0.0,0.0,0.0,0.0,51.1,0.0,0.0,0.0,14.13,66.2601547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95,0.0,0.0,0.0,0.0,78.02,5.03,0.0,0.0,0.0,66.7609634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.43,0.0,0.0,0.0,0.0,72.58,4.99,0.0,0.0,0.0,65.7821198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62,0.0,0.0,0.0,0.0,71.4,4.98,0.0,0.0,0.0,65.45961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82,0.0,0.0,0.0,0.0,67.23,4.95,0.0,0.0,0.0,64.9584503
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33,0.0,0.0,0.0,0.0,63.74,4.93,0.0,0.0,0.0,64.5116959
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.13,0.0,0.0,0.0,0.0,61.95,4.92,0.0,0.0,0.0,64.4718781
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.94,0.0,0.0,0.0,0.0,75.52,7.54,0.0,0.0,0.0,66.6208801
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,72.88,8.32,0.0,0.0,0.0,66.3487701
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,84.07,10.2,0.0,0.0,0.0,64.6746292
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,82.17,10.18,0.0,0.0,0.0,65.33863829999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.0,0.0,0.0,0.0,80.39,10.15,0.0,0.0,0.0,65.6953735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.16,0.0,0.0,0.0,0.0,75.76,10.08,0.0,0.0,0.0,66.13545989999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39,0.0,0.0,0.0,0.0,67.64,9.97,0.0,0.0,0.0,65.8666611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.96,0.0,0.0,0.0,0.0,64.13,9.92,0.0,0.0,0.0,65.729599
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.44,0.0,0.0,0.0,0.0,59.71,9.85,0.0,0.0,0.0,65.5495911
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.08,0.0,0.0,0.0,0.0,57.1,9.82,0.0,0.0,0.0,65.3691254
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0,0.0,78.7,12.18,0.0,0.0,0.0,65.1890488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,0.0,0.0,0.0,0.0,71.04,12.05,0.0,0.0,0.0,66.18798829999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.76,0.0,0.0,0.0,0.0,59.89,12.36,0.0,0.0,0.0,65.8823471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,77.79,14.22,0.0,0.0,0.0,63.9030647
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.45,0.0,0.0,0.0,0.0,62.64,13.92,0.0,0.0,0.0,65.6850204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,15.4,0.0,0.0,0.0,61.3231544
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.0,79.0,15.28,0.0,0.0,0.0,63.07106020000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,0.0,0.0,0.0,76.23,15.22,0.0,0.0,0.0,63.7974625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0,0.0,0.0,73.49,15.16,0.0,0.0,0.0,64.3489227
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,0.0,0.0,70.76,15.1,0.0,0.0,0.0,64.9367065
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51,0.0,0.0,0.0,0.0,64.52,14.97,0.0,0.0,0.0,65.6924973
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,0.0,0.0,0.0,0.0,64.09,14.96,0.0,0.0,0.0,65.6091309
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,0.0,0.0,0.0,0.0,62.71,14.93,0.0,0.0,0.0,65.3602982
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39,0.0,0.0,0.0,0.0,54.85,14.76,0.0,0.0,0.0,65.3113174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.03,0.0,0.0,0.0,0.0,52.26,14.7,0.0,0.0,0.0,65.3061142
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44,0.0,0.0,0.0,0.0,73.64,16.91,0.0,0.0,0.0,62.7935715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.47,0.0,0.0,0.0,0.0,47.25,16.28,0.0,0.0,0.0,65.0693588
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.57,0.0,0.0,0.0,0.0,68.31,18.12,0.0,0.0,0.0,63.54680250000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.34,0.0,0.0,0.0,0.0,59.76,17.9,0.0,0.0,0.0,64.7277222
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.42,0.0,0.0,0.0,0.0,54.8,18.78,0.0,0.0,0.0,65.0557632
