,Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,ABBENUM
9267,0.0,0.1,0.6,0.0,0.0,2.3,0.0,0.0,4.8,0.2,0.0,13.5,48.0,0.4,30.0,0.0,0.0,0.0,57.78
9268,0.0,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.5,0.15,0.0,12.0,52.0,1.6,33.0,0.0,0.0,0.0,57.72
9270,0.0,0.25,0.01,0.0,0.0,0.02,0.0,0.0,5.2,0.22,0.0,11.9,46.7,0.0,35.70000000000001,0.0,0.0,0.0,59.18
9271,0.0,0.15,0.05,0.0,0.2,3.0,0.0,0.0,5.1,0.2,0.0,9.6,49.5,0.0,32.2,0.0,0.0,0.0,56.96
9272,0.0,0.4,0.3,0.0,0.0,1.1,0.0,0.0,6.0,0.2,0.0,13.0,45.0,0.0,32.0,2.0,0.0,0.0,58.01
9273,0.0,12.0,0.0,0.0,6.1,0.0,0.0,0.0,1.0,0.3,0.0,7.0,10.0,0.0,57.0,6.5,0.1,0.0,43.11
9274,0.0,7.0,0.0,0.0,7.1,0.0,0.0,0.0,1.5,0.3,0.0,8.0,10.0,0.0,58.5,7.5,0.1,0.0,50.29
9275,0.0,7.0,0.0,0.0,3.3,2.0,0.0,0.0,1.0,0.3,0.0,6.9,28.0,0.0,47.0,3.5,1.0,0.0,47.82
9276,0.0,12.0,0.0,0.0,3.3,2.0,0.0,0.0,1.0,0.3,0.0,6.9,28.0,0.0,42.0,3.5,1.0,0.0,40.94
9277,0.0,5.0,0.0,0.0,3.3,2.0,0.0,0.0,1.0,0.3,0.0,6.9,35.0,0.0,42.0,3.5,1.0,0.0,49.91
9278,0.0,8.98,0.0,0.0,6.49,1.3,0.0,0.0,1.0,0.3,0.0,7.58,11.58,0.0,55.58,6.89,0.3,0.0,46.65
9279,0.0,10.7,0.0,0.0,6.2,0.0,0.0,0.0,1.7,0.3,0.0,8.5,16.4,0.0,50.1,5.8,0.3,0.0,43.69
9280,0.0,8.099999999999998,0.0,0.0,4.0,0.0,0.0,0.0,2.8,0.3,0.0,10.7,25.6,0.0,44.6,3.8,0.1,0.0,46.5
9282,5.0,0.0,5.7,0.0,11.5,0.0,0.0,0.0,14.2,0.5,0.0,0.0,0.0,0.0,62.7,0.1,0.0,0.0,58.0
9284,0.0,0.0,0.0,0.0,13.3,4.6,0.0,0.0,4.1,0.0,0.0,0.9,0.0,0.0,69.0,2.6,0.0,5.2,56.8
9285,0.0,0.0,0.0,0.0,12.59,3.0,0.0,0.0,0.3,0.0,0.0,0.0,1.2,0.0,70.52,8.39,3.5,0.0,60.1
9286,0.0,0.0,0.0,0.0,10.35,5.03,0.0,0.0,0.0,0.4,0.0,0.8,2.01,0.0,65.43,10.35,4.62,1.01,60.1
9298,0.0,0.0,13.0,0.0,13.0,0.0,26.9,0.0,0.0,0.1,0.0,14.0,0.0,0.0,33.0,0.0,0.0,0.0,35.0
9299,0.0,0.0,13.0,0.0,7.0,0.0,10.0,0.0,0.0,0.3,0.0,23.0,19.0,0.0,22.9,0.0,4.8,0.0,44.2
