Li2O,ZnO,TiO2,ZrO2,CaO,Nb2O5,Nb2O3,Al2O3,B2O3,Sb2O3,BaO,La2O3,SrO,SiO2,Na2O,PbO,Y2O3,K2O,RI
0.0,0.0,7.51,0.0,0.0,0.0,0.0,26.54,0.0,0.0,0.0,0.0,0.0,54.3,11.65,0.0,0.0,0.0,1.536
0.0,0.0,6.26,0.0,0.0,0.0,0.0,30.51,0.0,0.0,0.0,0.0,0.0,53.51,9.72,0.0,0.0,0.0,1.5390000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,0.0,0.0,0.0,0.0,0.0,49.55,0.0,0.0,0.0,0.0,1.548
0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75,24.39,0.0,0.0,0.0,1.6030000000000002
2.41,0.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.22,20.02,0.0,0.0,0.0,1.617
6.28,0.0,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.57,13.02,0.0,0.0,0.0,1.626
10.46,0.0,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.13,5.43,0.0,0.0,0.0,1.635
0.0,0.0,0.0,0.0,6.24,0.0,0.0,22.68,0.0,0.0,0.0,0.0,0.0,50.12,0.0,0.0,0.0,20.96,1.517
0.0,0.0,0.0,0.0,6.33,0.0,0.0,23.01,0.0,0.0,0.0,0.0,0.0,50.85,2.8,0.0,0.0,17.01,1.517
0.0,0.0,0.0,0.0,6.42,0.0,0.0,23.35,0.0,0.0,0.0,0.0,0.0,51.6,5.68,0.0,0.0,12.94,1.5190001
0.0,0.0,0.0,0.0,6.52,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,52.38,8.64,0.0,0.0,8.76,1.5190001
0.0,0.0,0.0,0.0,6.62,0.0,0.0,24.06,0.0,0.0,0.0,0.0,0.0,53.17,11.7,0.0,0.0,4.45,1.52
0.0,0.0,0.0,0.0,6.72,0.0,0.0,24.43,0.0,0.0,0.0,0.0,0.0,53.99,14.85,0.0,0.0,0.0,1.521
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.69,0.0,51.25,0.0,7.05,1.6480000000000001
1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,44.4,0.0,7.81,1.624
3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.66,0.0,35.9,0.0,8.74,1.599
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68,0.0,25.09,0.0,9.93,1.569
9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.91,0.0,10.89,0.0,11.49,1.538
12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.98,0.0,0.0,0.0,12.68,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34,3.36,43.62,0.0,7.67,1.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69,7.38,34.53,0.0,8.41,1.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,12.24,23.5,0.0,9.3,1.5590000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.49,18.25,9.86,0.0,10.4,1.524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,22.6,0.0,0.0,11.2,1.5039999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56,0.0,42.87,0.0,12.56,1.615
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.86,0.0,33.25,0.0,18.89,1.5819999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68,0.0,22.1,0.0,26.23,1.5530000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.16,0.0,9.01,0.0,34.84,1.5190001
